query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.6676888464276152,1.5096565727021019,-0.24742243461572094,-0.24742243461572094,-0.24742243461572094,-0.24742243461572094
1,0,CMA-ES,0.6310715468524131,0.18177343121703515,0.26752184380185373,0.26752184380185373,0.26752184380185373,0.26752184380185373
2,0,CMA-ES,0.8499687752436096,0.18177343121703515,-0.3342213119522688,-0.3342213119522688,-0.3342213119522688,-0.3342213119522688
3,0,CMA-ES,0.8861901080826339,0.18177343121703515,0.21962628618265148,0.21962628618265148,0.21962628618265148,0.21962628618265148
4,0,CMA-ES,0.889016232642815,0.18177343121703515,0.19032670271614316,0.19032670271614316,0.19032670271614316,0.19032670271614316
5,0,CMA-ES,0.8761367902843388,0.18177343121703515,0.22438190177437595,0.22438190177437595,0.22438190177437595,0.22438190177437595
6,0,CMA-ES,0.8968470327924882,0.18177343121703515,0.545573896539258,0.545573896539258,0.545573896539258,0.545573896539258
7,0,CMA-ES,0.9659424363232664,0.0,0.5897293069779956,0.5897293069779956,0.5897293069779956,0.5897293069779956
8,0,CMA-ES,0.9517259005138602,0.18177343121703515,0.40059521088353073,0.40059521088353073,0.40059521088353073,0.40059521088353073
9,0,CMA-ES,0.9737535784735458,0.18177343121703515,0.47062326096167867,0.47062326096167867,0.47062326096167867,0.47062326096167867
10,0,CMA-ES,0.9694402497495771,0.18177343121703515,0.42359999178319996,0.42359999178319996,0.42359999178319996,0.42359999178319996
11,0,CMA-ES,0.9630601319317001,0.0,0.5817430560686115,0.5817430560686115,0.5817430560686115,0.5817430560686115
12,0,CMA-ES,0.9722114680268805,0.0,0.6504345324738088,0.6504345324738088,0.6504345324738088,0.6504345324738088
13,0,CMA-ES,0.967618973709843,0.0,0.9048434108208595,0.9048434108208595,0.9048434108208595,0.9048434108208595
14,0,CMA-ES,0.9674474015487591,0.0,0.6989266013340828,0.6989266013340828,0.6989266013340828,0.6989266013340828
15,0,CMA-ES,0.9642067392744806,0.0,0.7900462895827508,0.7900462895827508,0.7900462895827508,0.7900462895827508
16,0,CMA-ES,0.970314428920367,0.0,0.7011136509553153,0.7011136509553153,0.7011136509553153,0.7011136509553153
17,0,CMA-ES,0.9684330068040694,0.0,0.8323324429808272,0.8323324429808272,0.8323324429808272,0.8323324429808272
