query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.4329022079866326,0.6417199468642869,-0.03236116924845252,0.16280901877475643,-0.5460177565072769,0.07502304856360163
1,0,CMA-ES,0.8003283071984895,0.6974595928765888,0.07225579142542633,0.41143768365705946,-0.5238246658830132,0.21911326935792977
2,0,CMA-ES,0.9004321461474488,0.19428653989401945,0.3114680637290518,0.6212661135610091,0.06313654605960256,0.364913389293726
3,0,CMA-ES,0.9414208356981814,0.0,0.41183945967864,0.7700429246304015,0.17528877936000958,0.272221901667241
4,0,CMA-ES,0.9839411988806027,0.0,0.6496048831357829,0.8735395635935813,0.48125782218946517,0.6727241658985148
5,0,CMA-ES,0.9694063685442011,0.0,0.5608579994171399,0.6476651726252918,0.4743204262874217,0.5473355692854911
6,0,CMA-ES,0.9738922864436819,0.0,0.4582728690926558,0.6267350312533086,0.142693702167957,0.5161577291408174
7,0,CMA-ES,0.9693291995644161,0.0,0.479103846636205,0.7811509745968988,0.1338861383655962,0.5186091793480292
8,0,CMA-ES,0.9924153372988962,0.0,0.5035097124592762,0.8018078559850522,0.3294863577181632,0.3873939234074422
9,0,CMA-ES,0.955214475737366,0.0,0.505676762666497,0.6896329583720165,0.3861817577416412,0.4462820189759826
10,0,CMA-ES,0.9561198786222229,0.0,0.5664721380709264,0.7600024864863064,0.22964879740743016,0.627859746400326
11,0,CMA-ES,0.9559009166953469,0.0,0.6295779946715229,0.7156415471009346,0.39188664452963884,0.6888264592261264
12,0,CMA-ES,0.9552258834986345,0.0,0.580478468312718,0.6619567213822306,0.46316317353008746,0.6181826177236729
13,0,CMA-ES,0.9560055387236612,0.0,0.5218069234203726,0.6892503531368833,0.3343672275375937,0.4607684359513632
14,0,CMA-ES,0.955765237636538,0.0,0.5847826227071222,0.7360668107259799,0.4730944978862708,0.5768000564271496
15,0,CMA-ES,0.9557491658185711,0.0,0.6985826760922196,0.7553674822653239,0.6394531533905679,0.6981228808007104
16,0,CMA-ES,0.9554494653176955,0.0,0.7008277571906871,0.8301408919955194,0.6154280022061599,0.6867313919304857
17,0,CMA-ES,0.9552098942056426,0.0,0.7956097337191423,0.878027002931841,0.7257402206504018,0.7875947700085476
18,0,CMA-ES,0.9548338112197368,0.0,0.8283010804183604,0.9087965919289354,0.7466544257419185,0.8131359681180238
19,0,CMA-ES,0.9553895163590646,0.0,0.902369183687058,0.9344347466491167,0.8763315088420048,0.893612250988445
20,0,CMA-ES,0.9546042485868653,0.0,0.8870846895445071,0.9391564401823583,0.8248446130826446,0.886448696934158
21,0,CMA-ES,0.9557425208063196,0.0,0.9305051957728849,0.985903016447278,0.8695031508902591,0.9309638662868859
22,0,CMA-ES,0.9551188928284909,0.0,0.8819747401741701,0.9307238917553607,0.8196511062597316,0.8867432189666706
23,0,CMA-ES,0.9545644786482994,0.0,0.9126521874786253,0.9325271789900568,0.8807428859398334,0.9174089848645042
24,0,CMA-ES,0.9546203952559392,0.0,0.9040003406347319,0.9771285972443281,0.876089260250582,0.8867577802202048
25,0,CMA-ES,0.9532291683826765,0.0,0.8902673644594609,0.9098729844614968,0.8668962192309717,0.8901538980797428
26,0,CMA-ES,0.9527096870258311,0.0,0.8907759601863315,0.9116781072387012,0.8494098902947563,0.8918441616901462
27,0,CMA-ES,0.9524581024052918,0.0,0.87603724639245,0.9207916191785492,0.8452393682853142,0.8685208484828345
28,0,CMA-ES,0.9528002808010858,0.0,0.8579106716768141,0.8856884431707115,0.8453312370503125,0.8542932223366604
29,0,CMA-ES,0.9529483165697522,0.0,0.8388340418503567,0.9028839352184479,0.7957656624287172,0.8314579300619054
