query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,Random,0.958209319025121,0.008553114562290909,0.07873823555291727,0.7964493007385919,-0.9466103531237567,0.009459100992671604
1,0,Random,0.9316866001949502,0.008553114562290909,0.5047306994062793,0.9760306599812468,0.19597846572628613,0.5112373830440363
2,0,Random,0.9368570482975261,0.008553114562290909,-0.3084503817632898,0.2041362517221768,-0.8391118295724026,-0.13746149316337464
3,0,Random,0.9551797018714618,0.008553114562290909,-0.03024408271557631,0.3727282612396156,-0.3787480053392223,-0.12379746999184608
4,0,Random,0.9658913557988712,0.008553114562290909,0.5102949454284521,0.833154981388903,0.21858992745354655,0.45136548392250453
5,0,Random,0.9552005375753516,0.005901576482272963,0.15182374458142217,0.464857769007044,-0.21565362270839575,0.06137576689059685
6,0,Random,0.9534669176290885,0.005901576482272963,-0.13223564843740018,0.0712066882270956,-0.3107310323485707,-0.19807534113495745
7,0,Random,0.9770260481397335,0.005901576482272963,0.03123821203766395,0.5424274698390675,-0.5369148440311837,0.004619382977409617
8,0,Random,0.9746033940800823,0.005901576482272963,-0.17819582550920246,0.7872652252759401,-0.9228368594750833,-0.48984998360874743
9,0,Random,0.9752190816720502,0.005901576482272963,-0.21466167709152773,0.1847509346325493,-0.739500898270179,-0.14630464685448744
10,0,Random,0.9806421490045885,0.005901576482272963,-0.18694727722320403,0.32982074957843527,-0.7255164941664072,-0.21792082009288113
11,0,Random,0.9812483560526329,0.005901576482272963,-0.14478252262185942,0.6644878968961517,-0.7077490748233631,-0.5666823242811646
12,0,Random,0.9830668444331092,0.005901576482272963,-0.48626955008329487,-0.1041157975025765,-0.9915401026954579,-0.2921886842411719
13,0,Random,0.9882428451138412,0.005901576482272963,0.22104486862709063,0.7438864410051955,-0.34206401479416154,0.21845751651133694
14,0,Random,0.9900448624311701,0.005901576482272963,-0.063236949913372,0.14537200006937429,-0.33993803255940874,-0.0634989939391251
15,0,Random,0.9931906516483795,0.005901576482272963,0.14212509891740793,0.5440636083319965,-0.39070203760673344,0.22405007761306586
16,0,Random,0.9934379236311583,0.005901576482272963,0.13410592957306933,0.8057465213395936,-0.8076517520753904,0.15260063089478654
17,0,Random,0.9931076270472632,0.005901576482272963,-0.06388097939374249,0.6686879127317079,-0.6784750682252526,-0.11382023473993053
18,0,Random,0.9963464117883103,0.005901576482272963,0.25178718301041353,0.7145262957222432,-0.5526229369338997,0.44084742204911986
19,0,Random,0.9961283463733378,0.005901576482272963,0.19427887523242507,0.697129098152536,-0.35258820570135896,0.36038702412779794
20,0,Random,0.9962107361008121,0.005901576482272963,-0.13283746536107333,0.41216431794693986,-0.6842387814567924,-0.05766211655375323
21,0,Random,0.9961341112183179,0.005901576482272963,-0.10823464546078854,0.5580917413193891,-0.8737124027487329,0.20945742513739213
22,0,Random,0.9959302942513875,0.005901576482272963,-0.20719297226907804,0.0675772347282103,-0.5269398492280105,-0.1896834751426516
23,0,Random,0.9964413806841732,0.005901576482272963,0.19762351347328408,0.7483430685731763,-0.39354618717322315,0.1971814923995458
24,0,Random,0.9961772288660496,0.005901576482272963,0.5295034014636784,0.8076605126416836,0.34534595101073,0.5108214226074724
25,0,Random,0.9962680836851697,0.005901576482272963,-0.4265536597066504,0.0001250782908478848,-0.7404011620741437,-0.5647259538399564
26,0,Random,0.9963671443736717,0.005901576482272963,-0.1453681479887006,0.7632904182850692,-0.9026269546355876,-0.00031752765844037797
27,0,Random,0.9980539507481718,0.005901576482272963,0.17190853427312094,0.6987559638488983,-0.4511497829963415,0.10081341831265994
28,0,Random,0.9979374191254748,0.005901576482272963,-0.19242470494831854,0.405282507495115,-0.7886183347214083,-0.07054394545187867
29,0,Random,0.9982081366045666,0.005901576482272963,-0.13048609449418216,0.5748896140840609,-0.5268564777725259,-0.19255172774002136
0,1,Random,0.8992952489615479,0.12379672911896022,0.23992381350980638,0.7396471788009051,-0.37152732188960425,0.2658822576624228
1,1,Random,0.8043368796645154,0.1910370435664368,0.1700674829582169,0.6078139809442711,-0.2302210817627406,0.2806240976241443
