query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES-IG,0.538086705086431,0.10204581387979972,-0.2896891233019157,-0.2896891233019157,-0.2896891233019157,-0.2896891233019157
1,0,CMA-ES-IG,0.1510868625733374,0.09902481061027046,-0.29382233452537915,-0.26625683633676595,-0.32965425516091923,-0.2896891233019157
2,0,CMA-ES-IG,0.41792113487902693,0.04399321047629434,-0.2845091069532516,-0.26625683633676595,-0.292401344872409,-0.2896891233019157
3,0,CMA-ES-IG,0.40035263817154926,0.04399321047629434,-0.2898105247729818,-0.26625683633676595,-0.3080197271093926,-0.2924827678228843
4,0,CMA-ES-IG,0.40657769233971314,0.04399321047629434,-0.30746902320283187,-0.26625683633676595,-0.378653720828793,-0.2924827678228843
5,0,CMA-ES-IG,0.5301658960775565,7.62783136860623e-05,-0.2907394793155283,-0.2605118495022485,-0.30621390500116524,-0.29811608137934975
6,0,CMA-ES-IG,0.5338617011918139,7.62783136860623e-05,-0.2949602903327845,-0.26625683633676595,-0.33945878044908023,-0.28706277227264587
7,0,CMA-ES-IG,0.5021633597948052,0.09902481061027046,-0.2809491094398757,-0.2647005610330105,-0.30334911652700086,-0.2778733800997458
8,0,CMA-ES-IG,0.53073283497216,7.62783136860623e-05,-0.2790933591841649,-0.2647005610330105,-0.2957269160649674,-0.2779729798193408
9,0,CMA-ES-IG,0.5060992488787556,0.09902481061027046,-0.28818360520625375,-0.2605118495022485,-0.3165317699633453,-0.28784540067971065
10,0,CMA-ES-IG,0.5107800513983709,0.09902481061027046,-0.2709399266415253,-0.25983398044192035,-0.2926179199695809,-0.26565390307729997
11,0,CMA-ES-IG,0.48147782150310947,0.09902481061027046,-0.2710026130734109,-0.25983398044192035,-0.2926179199695809,-0.26577927594107115
12,0,CMA-ES-IG,0.48071125762827566,0.09902481061027046,-0.26136526452006753,-0.25983791765380676,-0.2647005610330105,-0.26046128969672644
13,0,CMA-ES-IG,0.49504109525297896,0.09902481061027046,-0.2613642802170959,-0.25983398044192035,-0.2647005610330105,-0.26046128969672644
14,0,CMA-ES-IG,0.4941852105759757,0.09902481061027046,-0.26175334904303477,-0.25983398044192035,-0.26625683633676595,-0.26046128969672644
15,0,CMA-ES-IG,0.4905323558622699,0.09902481061027046,-0.26155866333941175,-0.2605118495022485,-0.2646991048509016,-0.2605118495022485
16,0,CMA-ES-IG,0.4879422299922704,0.09902481061027046,-0.2600054163129456,-0.25983398044192035,-0.2605118495022485,-0.25983791765380676
17,0,CMA-ES-IG,0.4862600178044029,0.09902481061027046,-0.260173899275056,-0.25983398044192035,-0.2605118495022485,-0.26017488357802765
18,0,CMA-ES-IG,0.4849049704668507,0.09902481061027046,-0.26031808663737704,-0.25983791765380676,-0.2605118495022485,-0.26046128969672644
19,0,CMA-ES-IG,0.4858313342424052,0.09902481061027046,-0.26000640061591723,-0.25983791765380676,-0.2605118495022485,-0.25983791765380676
