query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.15079908045382234,0.12341495847528672,0.15301713093999647,0.174468252702932,0.09023218385395455,0.17368404360154963
1,0,CMA-ES,0.2753695204694299,0.0036483932675219766,0.15182446602839378,0.19424760959202322,0.05833472773077972,0.1773577633953861
2,0,CMA-ES,0.28488446298163256,0.0036483932675219766,0.10067235993235378,0.1923031076443799,0.025965270599137825,0.09221053074294867
3,0,CMA-ES,0.31546937808172754,0.0036483932675219766,0.15024790441133284,0.1929585721786627,0.06663422479828192,0.1706994103341934
4,0,CMA-ES,0.3343849186059099,0.0036483932675219766,0.1258130610989227,0.19424760959202322,0.025932016678682557,0.14153630906249248
5,0,CMA-ES,0.333740794497068,0.0036483932675219766,0.12002356724791037,0.18868145182938872,0.025932016678682557,0.13274040024178513
6,0,CMA-ES,0.33924455044476487,0.0036483932675219766,0.12799001123540682,0.18042463323664462,0.09221053074294867,0.11966244048101701
7,0,CMA-ES,0.3465501596973781,0.004265207971136831,0.1589286493502182,0.174468252702932,0.12103122316610651,0.17010756076591713
8,0,CMA-ES,0.3451733810090447,0.001238971960326074,0.15180283476363704,0.18382759260945208,0.08717593565077629,0.16810390539715991
9,0,CMA-ES,0.3524914100955019,0.001238971960326074,0.17800658164170496,0.19376468101769193,0.15897348302973408,0.17964408125969694
10,0,CMA-ES,0.3522210767437537,0.001238971960326074,0.18415830650465984,0.19424760959202322,0.17414465786385205,0.18412047928138203
11,0,CMA-ES,0.3512130842598156,0.004265207971136831,0.19048304193162596,0.19399665423696344,0.18040205224483571,0.19376673062235233
12,0,CMA-ES,0.34655189873130665,0.004265207971136831,0.1736236793425569,0.1926466480583693,0.15443560601320283,0.17370623164932775
13,0,CMA-ES,0.3477205378570897,0.004265207971136831,0.18205242685404158,0.1926466480583693,0.16983666465577998,0.18286319735100848
14,0,CMA-ES,0.34977180984054573,0.004265207971136831,0.1837598418155359,0.19009820906186028,0.16985329352357662,0.18754393233835334
15,0,CMA-ES,0.3505212935009841,0.001238971960326074,0.18374003268177846,0.19369217610599815,0.17558569577568392,0.18284112942271585
16,0,CMA-ES,0.3471920849895609,0.0036483932675219766,0.18785086379020619,0.19369217610599815,0.18040205224483571,0.1886546134049954
17,0,CMA-ES,0.34582286854267735,0.004265207971136831,0.19216544018181142,0.19424760959202322,0.18946439543247326,0.19247487785137463
18,0,CMA-ES,0.34904159816050795,0.001238971960326074,0.19047623938830294,0.19424760959202322,0.1815129551781021,0.19307219639154322
19,0,CMA-ES,0.35023363821528214,0.001238971960326074,0.188908732432649,0.19384128513870652,0.1795665245127949,0.1911135600395473
0,1,CMA-ES,0.5208753734683669,0.0003999970892119009,-0.4810429438813404,-0.40213498061392816,-0.5097253022551604,-0.5061557463281365
1,1,CMA-ES,0.5151006020050083,0.0014937487219266465,-0.41594783778499306,-0.38096008510281093,-0.5097253022551604,-0.3865529818910004
2,1,CMA-ES,0.46374298221041116,0.031482765408372027,-0.4638563026318243,-0.4377423590178176,-0.4803023588855392,-0.4686902463119701
3,1,CMA-ES,0.31227435881235915,0.15570372702001967,-0.44647044539624503,-0.3984751343127634,-0.5100416031855163,-0.4386825220433501
4,1,CMA-ES,0.4003719591572464,0.15570372702001967,-0.4729026436688145,-0.4377423590178176,-0.5117870162063692,-0.4710405997255356
5,1,CMA-ES,0.28319628637470456,0.15570372702001967,-0.4533919679237479,-0.3980916636286059,-0.4739315080220061,-0.47077235002218987
6,1,CMA-ES,0.2931235653136889,0.15570372702001967,-0.4179519151455393,-0.38096008510281093,-0.47957869925745417,-0.4056344381109461
7,1,CMA-ES,0.26862742589026417,0.15570372702001967,-0.44158583967646003,-0.4127937419091288,-0.47095604503647936,-0.441296785880116
8,1,CMA-ES,0.34195691949543694,0.15570372702001967,-0.43432529206229303,-0.3812524512541296,-0.5097253022551604,-0.4231617073699411
9,1,CMA-ES,0.34450975493778074,0.15570372702001967,-0.40678240961596485,-0.3812524512541296,-0.42200245912593526,-0.4119373640418973
10,1,CMA-ES,0.3131589176640503,0.15570372702001967,-0.392044789540224,-0.38096652217582033,-0.4018722689578594,-0.39267018351360805
11,1,CMA-ES,0.3489005673092196,0.031482765408372027,-0.40174219376654186,-0.38096652217582033,-0.4375053354232208,-0.3942484587335631
12,1,CMA-ES,0.31821445361460843,0.031482765408372027,-0.3975074165960288,-0.3808198759645866,-0.4127937419091288,-0.39820802425519997
13,1,CMA-ES,0.3349373983353958,0.031482765408372027,-0.39453151932939484,-0.38096008510281093,-0.4298439702587594,-0.38366101097800454
14,1,CMA-ES,0.32580835478688935,0.031482765408372027,-0.3852433316297909,-0.3808198759645866,-0.3979409141976365,-0.38110626817847026
15,1,CMA-ES,0.32452248354286184,0.031482765408372027,-0.38089158980195115,-0.3808198759645866,-0.38096652217582033,-0.38088998053369877
16,1,CMA-ES,0.3136711534762574,0.031482765408372027,-0.38537310178356704,-0.3808198759645866,-0.39873948681804083,-0.38096652217582033
17,1,CMA-ES,0.3088700832833799,0.004487388716664542,-0.3939061819501283,-0.38096008510281093,-0.4146727046255316,-0.38999596903608524
18,1,CMA-ES,0.31449982789661435,0.004487388716664542,-0.38623389402764763,-0.38096652217582033,-0.4014641514265111,-0.3812524512541296
19,1,CMA-ES,0.3230533086943694,0.004487388716664542,-0.38539373897658835,-0.3808198759645866,-0.3985425435848262,-0.38110626817847026
0,2,CMA-ES,0.49083892844457677,0.009290230107868364,-0.06344703668246504,0.051306451278160616,-0.2115600994591822,-0.04676724927441933
1,2,CMA-ES,0.4853439685370116,0.009290230107868364,-0.014275445253498045,0.052144508764440094,-0.2118591923347535,0.051306451278160616
2,2,CMA-ES,0.49666231147458806,0.009290230107868364,0.011891266757538758,0.05204760587031908,-0.10533216704770568,0.05042481410377082
3,2,CMA-ES,0.44458620670253446,0.009290230107868364,-0.026955308513988228,0.05006115124217017,-0.10527294985081365,-0.02630471772365472
4,2,CMA-ES,0.4415367219205206,0.009290230107868364,-0.03488283667455663,0.052144508764440094,-0.14760140453755122,-0.022037225462557715
5,2,CMA-ES,0.44733076525366416,0.009290230107868364,-0.10921892642054222,0.05006115124217017,-0.21122838188138313,-0.13785423752147796
6,2,CMA-ES,0.44871352289577987,0.009290230107868364,0.051023635507894835,0.05204760587031908,0.05006115124217017,0.05099289245954504
7,2,CMA-ES,0.43160183091249815,0.009290230107868364,0.01280993338659215,0.051306451278160616,-0.05023668423670379,0.025084983252455888
8,2,CMA-ES,0.4312444713792391,0.009290230107868364,0.011482824527586356,0.051306451278160616,-0.10549745565215553,0.05006115124217017
9,2,CMA-ES,0.42688739287367605,0.009290230107868364,0.037024252944126916,0.05096169824802176,-0.00360517135461374,0.05037024244154982
10,2,CMA-ES,0.4287242806833801,0.009290230107868364,0.037165409973541674,0.052144508764440094,-0.00360517135461374,0.05006115124217017
11,2,CMA-ES,0.43560179926393505,0.009290230107868364,0.05104786123142509,0.052144508764440094,0.05006115124217017,0.05099289245954504
12,2,CMA-ES,0.432968424932684,0.009290230107868364,0.051229692662225414,0.052144508764440094,0.05067933364092947,0.05104746412176604
13,2,CMA-ES,0.4291749294342521,0.009290230107868364,0.05125737560299496,0.052144508764440094,0.05006115124217017,0.051411921202684785
14,2,CMA-ES,0.4370707877362014,0.009290230107868364,0.05080548443141,0.052144508764440094,0.04970982644086912,0.05068380126016539
15,2,CMA-ES,0.4310108214744956,0.009290230107868364,0.05096003003109982,0.052144508764440094,0.04970982644086912,0.05099289245954504
16,2,CMA-ES,0.42349064177630935,0.009290230107868364,0.051414155012302745,0.052144508764440094,0.05006115124217017,0.051725480021300355
17,2,CMA-ES,0.4196483197835297,0.009290230107868364,0.050494159422412394,0.052144508764440094,0.04970982644086912,0.05006115124217017
18,2,CMA-ES,0.4188714076562664,0.009290230107868364,0.05073653622242748,0.052144508764440094,0.05006115124217017,0.05037024244154982
19,2,CMA-ES,0.4145152524952294,0.009290230107868364,0.05080712737420055,0.052144508764440094,0.05006115124217017,0.05051142474509597
0,3,CMA-ES,0.15759303116014256,0.1942786267326304,0.4892803426161695,0.5382341702207207,0.456795352173531,0.4810459240352131
1,3,CMA-ES,0.26009002803124903,0.2004695932632874,0.5121271768414172,0.5539844853718552,0.4565659005167894,0.5189791607385121
2,3,CMA-ES,0.25054686049097785,0.1942786267326304,0.5285058754968686,0.5580227257372615,0.4986735108127518,0.5286636327187306
3,3,CMA-ES,0.2990841135526429,0.1942786267326304,0.5461128098269817,0.5580227257372615,0.5382341702207207,0.5440971716749723
4,3,CMA-ES,0.42292798261118425,0.1942786267326304,0.5262130870329539,0.5722018884020017,0.482920506792392,0.5248649764687109
5,3,CMA-ES,0.5293898730125232,0.05072211105245916,0.56225299682364,0.5722018884020017,0.5489347131840758,0.5639376928542414
6,3,CMA-ES,0.5261878872750094,0.05072211105245916,0.5313804098204166,0.5874233064866405,0.49557385211864674,0.5212622403381896
7,3,CMA-ES,0.5167102443540803,0.05072211105245916,0.5283240329540844,0.5722018884020017,0.5013985124647075,0.5198478654748142
8,3,CMA-ES,0.5319292328492601,0.05072211105245916,0.5663756830830996,0.5723007077001109,0.5537311947958996,0.5697354149181939
9,3,CMA-ES,0.5379426727941916,0.05072211105245916,0.5404017924078834,0.5521066559524379,0.5141971506427213,0.5476516815181874
10,3,CMA-ES,0.553044668647991,0.052517390591711344,0.5158598571895487,0.5536457149079095,0.482920506792392,0.5134366035289468
11,3,CMA-ES,0.5563752186209986,0.05072211105245916,0.5367767213535068,0.5483511758127128,0.5086176818296647,0.545069013885825
12,3,CMA-ES,0.5502377421831938,0.05072211105245916,0.5403803486664853,0.5553139213902282,0.5124391506810133,0.5468841612973501
13,3,CMA-ES,0.5600712387781414,0.05072211105245916,0.5444616324348228,0.5541603485013664,0.5265548344392932,0.5485656733993161
14,3,CMA-ES,0.5792019489148538,0.052878337614225224,0.5267892576525843,0.5490712989083507,0.49746584650714787,0.5303099425974193
15,3,CMA-ES,0.5842987377188141,0.052878337614225224,0.5496954979727936,0.5526539960557365,0.5481219837430115,0.5490030060462132
16,3,CMA-ES,0.5893536877976283,0.052878337614225224,0.5333678074055085,0.5489347131840758,0.48772743767646287,0.5484045393807476
17,3,CMA-ES,0.579333571048215,0.051981752664865155,0.5540739422255371,0.5769427633316215,0.5430327015196625,0.5481601520254321
18,3,CMA-ES,0.5896102698078203,0.052878337614225224,0.5725966383523476,0.5881278228796704,0.5599558422280819,0.5711514441508192
19,3,CMA-ES,0.5818881587699084,0.054043364882296885,0.5820151413321958,0.5881278228796704,0.5787090524603798,0.5806118449943665
0,4,CMA-ES,-0.5070225688367238,0.00879686356818487,-0.005913431591292288,-0.005913431591292288,-0.005913431591292288,-0.005913431591292288
1,4,CMA-ES,-0.39514496744324434,0.00879686356818487,-0.006146554501896638,-0.005913431591292288,-0.006630809374432678,-0.006020988520930795
2,4,CMA-ES,-0.28290405248567574,0.005571271173490735,-0.006081680400559511,-0.005253091051813571,-0.006630809374432678,-0.006221410587995897
3,4,CMA-ES,-0.3159355999658134,0.006928841817864802,-0.00597347106899551,-0.005399156603298808,-0.006630809374432678,-0.005931959149125278
4,4,CMA-ES,-0.3350425108561521,0.006928841817864802,-0.0062418440126362235,-0.005253091051813571,-0.006630809374432678,-0.0065417378121493215
5,4,CMA-ES,-0.2914083938727454,0.006928841817864802,-0.0059642072900790155,-0.005399156603298808,-0.006630809374432678,-0.005913431591292288
6,4,CMA-ES,-0.2692689068756068,0.006928841817864802,-0.005963779241359414,-0.005253091051813571,-0.006630809374432678,-0.005985608269595703
7,4,CMA-ES,-0.22107421660011317,0.006928841817864802,-0.006092776037077386,-0.005913431591292288,-0.006630809374432678,-0.005913431591292288
8,4,CMA-ES,-0.24035501724880526,0.006928841817864802,-0.006181934697190269,-0.005913431591292288,-0.006630809374432678,-0.006091748911518055
9,4,CMA-ES,-0.17760090423917602,0.005571271173490735,-0.006067421089644092,-0.0058120118015591166,-0.006630809374432678,-0.005913431591292288
10,4,CMA-ES,-0.15851326027947596,0.005571271173490735,-0.006036318164462288,-0.005913431591292288,-0.006159204737632289,-0.006036318164462288
11,4,CMA-ES,-0.04464700028969424,0.005571271173490735,-0.0058429414332978515,-0.005399156603298808,-0.006159204737632289,-0.005906702196130154
12,4,CMA-ES,-0.14636391507318258,0.005571271173490735,-0.006143551735864112,-0.005399156603298808,-0.006630809374432678,-0.0062721204828624835
13,4,CMA-ES,5.343743911990225e-05,0.005571271173490735,-0.006107194997819463,-0.005399156603298808,-0.006630809374432678,-0.006199407006773183
14,4,CMA-ES,0.02314789707925251,0.005571271173490735,-0.0062904191028210245,-0.0058120118015591166,-0.006630809374432678,-0.006359427617646152
15,4,CMA-ES,0.007857324670007817,0.005571271173490735,-0.006406929147505902,-0.005913431591292288,-0.006630809374432678,-0.0065417378121493215
16,4,CMA-ES,-0.032915509175777916,0.005571271173490735,-0.006045394398535866,-0.005399156603298808,-0.006630809374432678,-0.006075805808205988
17,4,CMA-ES,0.01559574785435811,0.005571271173490735,-0.006435384216426927,-0.006195148200513351,-0.006630809374432678,-0.00645778964538084
18,4,CMA-ES,0.09383792979381307,0.005571271173490735,-0.005936953520271878,-0.005399156603298808,-0.006193175154631359,-0.0060777411615786725
19,4,CMA-ES,0.07056471794043684,0.005571271173490735,-0.005985769491211639,-0.005253091051813571,-0.006630809374432678,-0.006029588769300154
0,5,CMA-ES,-0.05760950847268691,0.32514257493189014,0.21364303951020225,0.24279446001890165,0.1982841907513358,0.20674675363528577
1,5,CMA-ES,0.5057320311243241,0.0038481112523736094,0.21718097333746095,0.262378274271737,0.1982841907513358,0.20403071416338547
2,5,CMA-ES,0.5045525740133957,0.01766940086548585,0.24980748286864585,0.27559034682321876,0.21777544129241086,0.25293207167947684
3,5,CMA-ES,0.373854489019449,0.2353011537821661,0.26231205033911253,0.3022891795518778,0.20899040070961666,0.26898431054747785
4,5,CMA-ES,0.26298287059835385,0.32278804812591666,0.2537754234822848,0.3022891795518778,0.19968749145683384,0.2565625114602138
5,5,CMA-ES,0.32648515680358414,0.34224343016732606,0.23776116375154493,0.2751073543710547,0.1982841907513358,0.23882655494189464
6,5,CMA-ES,0.43532266284394977,0.2353011537821661,0.24406427700652575,0.28601420700570757,0.20899040070961666,0.2406262501553894
7,5,CMA-ES,0.5098084080999893,0.0,0.2511700524458164,0.30489737924367843,0.21839129655031697,0.24069576699463507
8,5,CMA-ES,0.5145628129560996,0.0,0.24908271608420438,0.28595620160782437,0.22294385472866415,0.24371540400016445
9,5,CMA-ES,0.5021096111361496,0.01766940086548585,0.27615590441684096,0.28408597711115985,0.25826847658732455,0.28113458198443975
10,5,CMA-ES,0.5264415609089254,0.01766940086548585,0.28223203562463295,0.3022891795518778,0.26503440911772763,0.28080227691446313
11,5,CMA-ES,0.5268818581485327,0.0,0.27881834848995524,0.2971041870002102,0.26523302950024963,0.2764680887296806
12,5,CMA-ES,0.5317810428096771,0.0,0.27958000348109324,0.30093898394421004,0.25047008102090706,0.28345547447962793
13,5,CMA-ES,0.5327393454070705,0.0,0.2867615462323292,0.30489737924367843,0.2770971643161962,0.2825258206847212
14,5,CMA-ES,0.5313323284996454,0.0,0.29367810175926656,0.3054598730483964,0.28494023536015356,0.29215614931425815
15,5,CMA-ES,0.532369854281479,0.0,0.29543316771582995,0.30725257467461303,0.2847913584725141,0.2948443688580963
16,5,CMA-ES,0.529896030520644,0.0,0.2981907935726189,0.30473983437518454,0.28671704449694185,0.3006531477091746
17,5,CMA-ES,0.5288474864377861,0.0,0.3048064167515664,0.30725257467461303,0.29974578956855624,0.30611365138154817
18,5,CMA-ES,0.5207155867626033,0.0,0.2985079849755765,0.30725257467461303,0.28091992427758866,0.3029297204750522
19,5,CMA-ES,0.5167820133292816,0.0,0.29891920900222774,0.30611365138154817,0.28494023536015356,0.3023114746336046
0,6,CMA-ES,-0.08682769903841106,0.32351806783907244,-0.2230869802342481,-0.22029170930455552,-0.2265097773603343,-0.2227732171360513
1,6,CMA-ES,0.126425508647004,0.035752600139415724,-0.23704602780160453,-0.2208637979797725,-0.25642133039714515,-0.23544949141475027
2,6,CMA-ES,0.2331059856148949,0.035752600139415724,-0.24545296072995557,-0.2201100460726673,-0.2550547058692648,-0.2533235454889451
3,6,CMA-ES,0.23901103759489017,0.035752600139415724,-0.2272433686679624,-0.2201100460726673,-0.23235951014109443,-0.228251959229044
4,6,CMA-ES,0.2089475691652876,0.035752600139415724,-0.2256724728825489,-0.21795793912131486,-0.23189200682449837,-0.22641997279219117
5,6,CMA-ES,0.21490712994044522,0.035752600139415724,-0.21986205458047473,-0.21903179093856248,-0.22041518258141837,-0.22000062240095897
6,6,CMA-ES,0.2447257830381768,0.035752600139415724,-0.22143291456325548,-0.21903179093856248,-0.2255443600301314,-0.22057775364216403
7,6,CMA-ES,0.19685204363283057,0.035752600139415724,-0.22407483477465168,-0.21795793912131486,-0.23207718629865537,-0.22313210683931828
8,6,CMA-ES,0.1982954764541959,0.035752600139415724,-0.22977876138606124,-0.21970953549736244,-0.25794481461816754,-0.22073034771435746
9,6,CMA-ES,0.18025866766762616,0.035752600139415724,-0.22529888477074822,-0.21795793912131486,-0.23090311400764357,-0.2261672429770172
10,6,CMA-ES,0.21265479305969376,0.035752600139415724,-0.22285919934154147,-0.2201100460726673,-0.2255443600301314,-0.22289119563168358
11,6,CMA-ES,0.24011214207475728,0.035752600139415724,-0.22559487422744082,-0.2201422759292294,-0.2312182247833907,-0.22550949809857157
12,6,CMA-ES,0.23887777532374108,0.035752600139415724,-0.2199210959390305,-0.21795793912131486,-0.22116898612415942,-0.22027872925532388
13,6,CMA-ES,0.23218798819064865,0.035752600139415724,-0.2193932871672471,-0.21795793912131486,-0.22029170930455552,-0.219661750121559
14,6,CMA-ES,0.22568094487749088,0.035752600139415724,-0.21977708808643098,-0.21795793912131486,-0.2207486578471862,-0.2202008776886114
15,6,CMA-ES,0.21857173110997183,0.035752600139415724,-0.2198447989029338,-0.21795793912131486,-0.2208637979797725,-0.22027872925532388
