query_num,trial,method,alignment,regret,quality_avg,quality_max,quality_min,quality_median
0,0,CMA-ES,0.8717122498919224,0.4851220991494443,0.07617698734825276,0.7007408348573466,-0.43066699119561525,-0.1308216277674999
1,0,CMA-ES,0.96451497303936,0.001683417205700255,0.2831377356038457,0.9369101083656778,-0.6903284191791128,0.5129142098628938
2,0,CMA-ES,0.9791942442812621,0.001683417205700255,0.6185872673906523,0.8399566902120669,0.45134270536716625,0.5887633687416834
3,0,CMA-ES,0.9815714352768178,0.001683417205700255,0.6164687661534728,0.8408788351510089,0.12498031516594373,0.6551240424044796
4,0,CMA-ES,0.9828626540019968,0.001683417205700255,0.5781192501497505,0.8387320794160009,0.18550008059871792,0.7537875107270913
5,0,CMA-ES,0.9699660735508825,0.0876429539476718,0.7553511011099268,0.9020513818462934,0.4108547007698752,0.7995760594710006
6,0,CMA-ES,0.9758033067929606,0.0876429539476718,0.8331563680154129,0.8823434071914373,0.7724370677438793,0.8579443097363153
7,0,CMA-ES,0.9744259505940628,0.001683417205700255,0.8142322900694415,0.8662558537126758,0.7205378022174743,0.8194685630946452
8,0,CMA-ES,0.972651767317456,0.001683417205700255,0.8157488508608145,0.9690847277666215,0.6819898108279295,0.8355853675429227
9,0,CMA-ES,0.9741819859213416,0.001683417205700255,0.7576498694496927,0.8114986774367441,0.7065906100431761,0.7455114916720493
10,0,CMA-ES,0.9764411988330381,0.001683417205700255,0.840033164483988,0.8803572051794709,0.7512169566111249,0.8649278661858885
11,0,CMA-ES,0.9865497336665872,0.001683417205700255,0.8550539896792323,0.935077808467841,0.8015028778922245,0.8602048065287351
12,0,CMA-ES,0.9841736065963208,0.001683417205700255,0.8889012817679006,0.9245732473539295,0.8703687069597543,0.8851562151432618
13,0,CMA-ES,0.9881718529973257,0.001683417205700255,0.8808422880901128,0.9120608450305266,0.8363963696192499,0.8823267033197496
14,0,CMA-ES,0.9833393039671181,0.001683417205700255,0.921047066186514,0.9526824332561172,0.890436382773934,0.9150983611246024
15,0,CMA-ES,0.9852274112503909,0.001683417205700255,0.8979469139993691,0.9490373453657812,0.8150614944142522,0.9023790983439112
16,0,CMA-ES,0.9873868731325927,0.001683417205700255,0.8999975651678433,0.9470421026019095,0.8556792268820139,0.8847730849699411
17,0,CMA-ES,0.9848133605201785,0.001683417205700255,0.8463410261684752,0.8776287695673026,0.7916944588321582,0.8562419575308703
18,0,CMA-ES,0.988270968013426,0.001683417205700255,0.8452136139611186,0.8938234695979337,0.8045948981870111,0.839045898356001
19,0,CMA-ES,0.9890496611573159,0.001683417205700255,0.867139863340239,0.9131800890140737,0.8208927378786524,0.8713486377323308
20,0,CMA-ES,0.9894642706653067,0.001683417205700255,0.8257445755070016,0.9062166226632423,0.6733155635565633,0.8506261221405506
21,0,CMA-ES,0.9882893389776324,0.001683417205700255,0.8295062274751638,0.8572330973808774,0.7565005007835238,0.8550842371130675
22,0,CMA-ES,0.9853954687808254,0.001683417205700255,0.8145421938995596,0.8915526399302778,0.773297491189518,0.8032921946018656
23,0,CMA-ES,0.9862468357542019,0.001683417205700255,0.793179559925789,0.836820706415312,0.7668283204259668,0.7869841865930506
24,0,CMA-ES,0.9878092397866839,0.001683417205700255,0.8458335881354418,0.9164193922644338,0.7805332486339596,0.8659753684496936
25,0,CMA-ES,0.9921236744684595,0.001683417205700255,0.8815905720459686,0.9771375027570902,0.8089329458912288,0.8693847682173849
26,0,CMA-ES,0.9937272764747325,0.001683417205700255,0.8651596526560921,0.90448479606236,0.8223321565020303,0.8633343128557901
27,0,CMA-ES,0.9965954161696037,0.001683417205700255,0.875764692981398,0.9626617798082633,0.811628909576333,0.8539242283282761
28,0,CMA-ES,0.9978761336172359,0.001683417205700255,0.8822033716559095,0.9275034013790827,0.8477472877654786,0.8793686743515718
29,0,CMA-ES,0.997922128432169,0.0,0.904549126918093,0.9318389287124685,0.8847985166767198,0.8971387688237882
0,1,CMA-ES,0.7634595715507172,-1.1102230246251565e-16,-0.09403706664907871,0.6276656280492084,-0.42123975682433973,-0.2820541972910658
1,1,CMA-ES,0.9769508608057594,-1.1102230246251565e-16,0.3129106475170943,0.5925230472253191,-0.24003840411919317,0.43424770719559264
2,1,CMA-ES,0.9861238380524936,-1.1102230246251565e-16,0.4153956687795744,0.9245949308816398,-0.040593055011285066,0.46816151347649493
3,1,CMA-ES,0.9847611425255084,-1.1102230246251565e-16,0.5998057503253513,0.818092193731788,0.06074001079852918,0.7410038337361855
4,1,CMA-ES,0.972077395546003,-1.1102230246251565e-16,0.7060964573773169,0.9884034967314901,0.2171404689041404,0.7708411696296764
5,1,CMA-ES,0.9816993309934192,-1.1102230246251565e-16,0.7516822161340235,0.8161024602026811,0.5872650665810519,0.7794125804411001
6,1,CMA-ES,0.9796660257593905,-1.1102230246251565e-16,0.7776068907582399,0.8447634608071716,0.7106754743761129,0.7794125804411001
7,1,CMA-ES,0.9695122569407767,0.06847380336623554,0.7296942535220221,0.8186119118389836,0.6416261134484049,0.7624897968518526
8,1,CMA-ES,0.9782979340601649,-1.1102230246251565e-16,0.7696090040546466,0.9912821189072593,0.5619215377530449,0.7728254659182747
9,1,CMA-ES,0.9726338956786225,0.06847380336623554,0.6943838066021609,0.807102061671789,0.48245694945240647,0.7385023382948402
