timestamp,pid,task,method,sequence,favorite_id
1722027511.367656,0,blossom,CMA-ES-IG,0,605
1722027512.6051946,0,blossom,CMA-ES-IG,0,1111
1722027514.0441096,0,blossom,CMA-ES-IG,0,560
1722027548.1968534,0,blossom,CMA-ES-IG,0,853
1722027771.4380674,0,blossom,CMA-ES-IG,0,1354
1722027918.6099463,0,blossom,CMA-ES-IG,0,1406
1722027952.3129737,0,blossom,CMA-ES-IG,0,829
1722028184.3615587,0,blossom,CMA-ES-IG,3,1316
1722030852.108256,0,handover,CMA-ES-IG,1,94
1722030982.8018134,0,handover,CMA-ES-IG,0,597
