timestamp,pid,task,method,sequence,played_trajectory
1722034432.3826327,3,handover,CMA-ES-IG,0,149
1722034450.5892193,3,handover,CMA-ES-IG,0,65
1722034478.7903557,3,handover,CMA-ES-IG,0,900
1722034494.2849295,3,handover,CMA-ES-IG,1,838
1722034508.1488445,3,handover,CMA-ES-IG,1,65
1722034521.5489693,3,handover,CMA-ES-IG,1,440
1722034536.2996337,3,handover,CMA-ES-IG,2,824;best
1722034549.7409654,3,handover,CMA-ES-IG,2,904
1722034562.949154,3,handover,CMA-ES-IG,2,623
1722034576.7329152,3,handover,CMA-ES-IG,2,400
1722034593.2902527,3,handover,CMA-ES-IG,3,824;best
1722034607.2783513,3,handover,CMA-ES-IG,3,564
1722034620.3807876,3,handover,CMA-ES-IG,3,186
1722034633.9568808,3,handover,CMA-ES-IG,3,401
1722034648.1804965,3,handover,CMA-ES-IG,4,425
1722034662.5668752,3,handover,CMA-ES-IG,4,291
1722034677.0206432,3,handover,CMA-ES-IG,4,803
1722034691.9669304,3,handover,CMA-ES-IG,5,824;best
1722034706.3330884,3,handover,CMA-ES-IG,5,747
1722034719.2444174,3,handover,CMA-ES-IG,5,80
1722034732.5805204,3,handover,CMA-ES-IG,5,619
1722034747.0118542,3,handover,CMA-ES-IG,6,412
1722034760.3181038,3,handover,CMA-ES-IG,6,960
1722034773.5324476,3,handover,CMA-ES-IG,6,25
1722034787.7742398,3,handover,CMA-ES-IG,7,824;best
1722034801.6035914,3,handover,CMA-ES-IG,7,850
1722034815.1104739,3,handover,CMA-ES-IG,7,638
1722034829.404038,3,handover,CMA-ES-IG,7,354
1722034843.4516475,3,handover,CMA-ES-IG,8,638
1722034856.883722,3,handover,CMA-ES-IG,8,539
1722034870.2600315,3,handover,CMA-ES-IG,8,13
1722034884.0457947,3,handover,CMA-ES-IG,9,824;best
1722034954.060121,3,handover,infogain,0,85
1722034973.5979915,3,handover,infogain,0,3
1722034986.8923194,3,handover,infogain,0,160
1722035001.7485101,3,handover,infogain,1,908;best
1722035015.9553845,3,handover,infogain,1,8
1722035029.453387,3,handover,infogain,1,708
1722035042.820257,3,handover,infogain,1,753
1722035060.22205,3,handover,infogain,2,502;best
1722035074.283453,3,handover,infogain,2,307
1722035087.3159027,3,handover,infogain,2,907
1722035100.8115652,3,handover,infogain,2,321
1722035119.8137026,3,handover,infogain,3,274
1722035133.067399,3,handover,infogain,3,294
1722035146.4915764,3,handover,infogain,3,822
1722035162.0858948,3,handover,infogain,4,383;best
1722035176.0446296,3,handover,infogain,4,221
1722035189.1714656,3,handover,infogain,4,440
1722035201.97944,3,handover,infogain,4,743
1722035214.963181,3,handover,infogain,4,307
1722035227.7848225,3,handover,infogain,5,383;best
1722035241.195242,3,handover,infogain,5,623
1722035254.0191288,3,handover,infogain,5,767
1722035267.2595637,3,handover,infogain,5,162
1722035281.1487713,3,handover,infogain,6,328;best
1722035384.427671,3,handover,CMA-ES,0,2
1722035397.4048727,3,handover,CMA-ES,0,325
1722035410.442564,3,handover,CMA-ES,0,876
1722035428.1427844,3,handover,CMA-ES,1,238;best
1722035441.41151,3,handover,CMA-ES,1,701
1722035455.053482,3,handover,CMA-ES,1,22
1722035468.5887146,3,handover,CMA-ES,2,238;best
1722035481.730825,3,handover,CMA-ES,2,139
1722035494.4753704,3,handover,CMA-ES,2,441
1722035507.5875564,3,handover,CMA-ES,2,887
1722035521.5884113,3,handover,CMA-ES,3,238;best
1722035535.0277636,3,handover,CMA-ES,3,887
1722035547.6430957,3,handover,CMA-ES,3,274
1722035560.5950303,3,handover,CMA-ES,3,907
1722035574.956787,3,handover,CMA-ES,4,502
1722035588.10817,3,handover,CMA-ES,4,849
1722035601.0511663,3,handover,CMA-ES,4,701
1722035613.828452,3,handover,CMA-ES,5,238;best
1722035626.819287,3,handover,CMA-ES,5,328
1722035640.5636055,3,handover,CMA-ES,5,278
1722035651.4269454,3,handover,CMA-ES,5,267
1722035656.9392366,3,handover,CMA-ES,5,267
1722035672.4042287,3,handover,CMA-ES,6,238;best
1722035686.0433433,3,handover,CMA-ES,6,701
1722035699.195094,3,handover,CMA-ES,6,849
1722035713.1389544,3,handover,CMA-ES,6,732
1722035715.4593189,3,handover,CMA-ES,6,732
1722035728.2121518,3,handover,CMA-ES,7,238;best
